aX,aY,aZ,gX,gY,gZ
0.411,-0.673,2.871,11.719,-257.202,-33.630
0.648,-0.766,3.917,6.470,-247.437,-26.001
0.856,-0.690,4.000,-0.244,-206.909,-15.198
1.056,-0.420,4.000,-5.981,-161.438,-4.822
1.224,-0.110,4.000,-14.282,-115.723,2.075
1.347,0.009,4.000,-21.545,-66.528,4.761
1.446,0.016,3.625,-26.611,-21.606,6.104
1.493,0.091,2.703,-27.771,9.216,7.385
1.506,0.177,1.929,-28.503,26.917,7.446
1.497,0.215,1.344,-28.564,39.307,6.470
1.480,0.353,0.688,-24.231,52.856,4.761
1.456,0.517,0.278,-17.761,41.931,2.014
1.426,0.627,-0.099,-11.963,25.024,-2.869
1.373,0.639,-0.230,-6.348,11.414,-9.216
1.293,0.645,-0.115,-0.061,-8.667,-17.212
1.178,0.633,0.209,6.287,-24.292,-24.475
1.052,0.560,0.625,11.841,-34.851,-31.616
0.924,0.394,1.005,16.907,-38.879,-38.086
0.807,0.122,1.323,19.775,-37.109,-42.725
0.710,-0.218,1.547,19.348,-30.762,-44.617
0.638,-0.560,1.639,14.954,-19.897,-42.847
0.587,-0.846,1.544,9.521,-6.653,-36.255
0.560,-1.052,1.308,5.127,5.737,-25.574
0.562,-1.138,0.991,0.793,15.930,-12.512
0.564,-1.106,0.714,-3.113,20.996,1.282
0.569,-0.967,0.516,-5.798,21.362,15.198
0.569,-0.723,0.442,-8.118,19.104,27.954
0.571,-0.415,0.434,-11.230,15.808,37.781
0.583,-0.078,0.461,-11.230,12.146,44.922
0.596,0.242,0.495,-9.155,9.277,48.035
0.611,0.523,0.547,-6.287,6.042,46.570
0.620,0.751,0.623,-4.517,3.357,41.321
0.624,0.886,0.707,-3.601,1.526,33.020
0.622,0.902,0.767,-3.479,0.977,22.766
0.626,0.830,0.758,-2.136,1.526,12.390
0.628,0.695,0.676,1.099,2.502,3.113
0.633,0.482,0.524,4.211,2.625,-4.211
0.640,0.232,0.385,6.775,0.671,-8.972
0.637,0.039,0.317,7.629,-3.479,-11.597
0.899,0.639,1.496,7.202,-15.869,15.320
0.921,0.771,1.710,-0.061,-9.155,13.916
0.942,0.836,1.807,-6.226,0.610,10.925
0.972,0.845,1.830,-11.169,12.146,7.019
0.988,0.848,1.809,-13.367,23.682,3.296
1.000,0.840,1.714,-14.343,34.607,-0.244
1.007,0.806,1.576,-14.404,44.373,-3.174
0.999,0.764,1.471,-16.113,52.185,-5.676
0.983,0.744,1.395,-18.616,58.289,-7.812
0.953,0.751,1.357,-21.240,63.416,-9.766
0.912,0.757,1.345,-24.597,68.359,-11.963
0.868,0.805,1.356,-28.015,73.181,-14.526
0.821,0.899,1.331,-31.250,78.796,-17.334
0.776,1.008,1.233,-32.349,85.144,-21.057
0.733,1.096,1.115,-33.142,90.271,-26.550
0.691,1.114,0.992,-35.217,93.811,-33.630
0.644,1.068,0.884,-37.476,95.825,-41.992
0.600,0.973,0.790,-38.147,96.436,-49.988
0.552,0.812,0.679,-36.743,96.313,-57.007
0.514,0.623,0.564,-34.607,95.459,-62.561
0.480,0.477,0.499,-32.593,92.712,-65.979
0.440,0.384,0.468,-31.006,89.417,-67.688
0.403,0.328,0.451,-29.663,86.304,-68.359
0.369,0.286,0.425,-28.687,83.374,-68.665
0.338,0.246,0.400,-28.320,80.811,-68.848
0.306,0.203,0.366,-27.954,78.430,-68.848
0.279,0.155,0.339,-28.259,75.928,-68.909
0.249,0.116,0.309,-28.442,73.364,-68.359
0.225,0.059,0.254,-27.832,70.923,-67.505
0.205,-0.012,0.182,-26.733,67.993,-66.345
0.190,-0.103,0.079,-25.513,64.941,-64.941
0.177,-0.193,-0.012,-24.963,61.035,-62.439
0.168,-0.268,-0.096,-24.658,56.274,-59.082
0.165,-0.296,-0.174,-23.865,50.781,-54.749
0.160,-0.281,-0.249,-23.499,44.678,-49.866
0.154,-0.264,-0.303,-23.315,37.720,-45.471
0.146,-0.258,-0.365,-23.437,30.396,-41.626
0.136,-0.251,-0.428,-23.621,23.315,-38.208
0.126,-0.235,-0.475,-23.193,15.259,-35.034
0.115,-0.215,-0.497,-23.254,6.348,-32.288
0.101,-0.218,-0.483,-22.461,-2.686,-29.968
0.089,-0.255,-0.449,-20.752,-10.925,-27.893
0.087,-0.302,-0.436,-17.395,-19.287,-25.452
0.081,-0.389,-0.441,-14.221,-27.466,-22.583
