aX,aY,aZ,gX,gY,gZ
0.730,0.824,4.000,0.916,73.303,248.291
0.712,1.685,4.000,3.418,116.699,249.207
0.671,2.442,3.711,9.827,152.283,239.868
0.630,3.001,2.983,15.442,180.115,222.778
0.571,3.442,2.305,9.644,202.820,199.219
0.587,3.725,1.596,-0.427,224.243,176.514
0.596,3.877,0.725,-10.864,245.361,142.883
0.628,3.813,0.014,-16.785,243.103,93.506
0.631,3.681,-0.676,-17.944,234.497,56.641
0.610,3.410,-1.161,-14.465,222.961,22.644
0.587,3.115,-1.507,-10.376,199.890,-8.057
0.534,2.792,-1.726,-6.531,174.500,-35.461
0.493,2.409,-1.683,-1.038,141.113,-59.143
0.403,1.969,-1.685,4.822,115.417,-79.773
0.311,1.513,-1.531,14.221,89.905,-95.093
0.207,1.054,-1.318,21.301,67.688,-105.286
0.127,0.636,-1.093,25.574,49.561,-110.596
0.047,0.241,-0.847,30.396,34.790,-111.206
-0.009,-0.104,-0.723,25.452,25.696,-108.826
-0.054,-0.372,-0.602,18.921,16.968,-102.295
-0.100,-0.581,-0.548,17.151,11.292,-92.041
-0.115,-0.798,-0.489,4.761,6.287,-81.299
-0.151,-0.937,-0.544,-2.686,3.296,-67.322
-0.146,-0.930,-0.647,-13.306,-0.122,-51.025
-0.152,-0.746,-0.812,-24.048,-4.089,-34.546
-0.158,-0.474,-0.979,-34.485,-10.620,-20.630
-0.168,-0.188,-1.074,-45.654,-21.118,-10.498
-0.175,0.171,-1.130,-53.772,-33.142,-4.089
-0.178,0.531,-1.090,-58.228,-47.424,-1.404
-0.172,0.768,-1.003,-62.256,-61.829,-3.662
-0.160,0.882,-0.935,-62.866,-74.890,-8.728
-0.139,0.874,-0.940,-59.937,-87.036,-15.198
-0.120,0.727,-1.008,-54.443,-99.609,-21.667
-0.092,0.513,-1.065,-47.913,-113.770,-26.611
-0.068,0.339,-1.042,-43.701,-129.700,-28.625
-0.046,0.271,-0.839,-43.762,-147.156,-28.198
-0.015,0.344,-0.459,-50.659,-164.062,-26.367
0.038,0.527,0.061,-61.707,-177.429,-24.597
0.109,0.740,0.631,-73.486,-187.012,-23.987
0.237,0.917,1.198,-78.430,-198.669,-25.391
0.366,0.944,1.421,-76.660,-190.552,-30.518
0.495,0.780,1.589,-69.458,-173.279,-37.109
0.602,0.488,1.757,-64.941,-170.532,-43.701
0.692,0.199,2.018,-62.317,-168.396,-47.424
0.744,-0.068,2.357,-60.425,-163.452,-47.546
0.805,-0.187,2.782,-58.533,-157.898,-44.495
0.865,-0.227,3.190,-56.213,-147.034,-39.856
0.915,-0.201,3.438,-51.575,-128.113,-35.217
0.951,-0.184,3.470,-42.480,-98.816,-31.555
0.973,-0.237,3.339,-32.715,-70.679,-29.236
0.982,-0.347,3.027,-27.283,-44.861,-27.161
0.988,-0.430,2.586,-24.536,-21.606,-24.048
0.980,-0.463,2.130,-23.437,-4.578,-19.775
0.970,-0.453,1.712,-23.071,7.019,-14.465
0.961,-0.364,1.370,-23.254,14.832,-9.094
0.950,-0.217,1.108,-23.193,20.508,-5.066
0.931,-0.076,0.820,-22.888,25.208,-2.502
0.919,0.048,0.663,-20.081,18.555,-1.343
0.900,0.171,0.496,-14.404,15.015,-1.038
0.878,0.250,0.420,-8.118,9.155,-2.380
0.845,0.250,0.419,-3.418,1.709,-4.517
0.807,0.164,0.523,-0.793,-4.517,-6.775
0.770,0.126,0.704,-0.061,-8.606,-8.179
0.732,0.142,0.859,0.000,-10.010,-8.545
0.700,0.151,0.952,-0.183,-8.728,-8.972
0.674,0.149,1.012,0.305,-6.470,-9.521
0.858,-0.930,2.102,45.898,-89.539,32.959
0.905,-1.208,2.743,37.109,-87.158,40.222
0.885,-1.360,3.309,37.659,-80.444,54.993
0.919,-1.523,4.000,22.278,-67.993,69.092
0.868,-1.292,4.000,16.907,-23.621,90.149
0.808,-0.873,4.000,11.292,10.132,109.558
0.733,-0.308,4.000,3.174,50.171,123.901
0.624,0.218,4.000,-6.897,90.881,132.996
0.524,0.714,4.000,-10.864,130.432,138.062
0.433,1.111,3.568,-11.841,165.833,136.963
0.366,1.453,2.869,-14.038,193.237,130.249
0.308,1.740,2.203,-17.883,212.891,119.690
0.285,1.977,1.592,-21.606,226.807,106.262
0.266,2.154,1.106,-24.719,236.938,89.294
0.245,2.325,0.622,-26.062,241.150,70.862
0.227,2.416,0.379,-28.137,225.342,49.988
0.186,2.414,0.145,-29.663,218.872,28.320
0.122,2.370,0.046,-28.870,207.581,6.897
0.048,2.336,-0.004,-27.527,196.167,-12.573
-0.045,2.258,-0.033,-27.527,187.073,-32.043
-0.139,2.215,-0.139,-29.236,179.749,-51.208
-0.237,2.153,-0.287,-30.701,172.729,-69.824
-0.333,2.032,-0.453,-31.860,164.917,-88.318
-0.434,1.803,-0.627,-32.043,155.273,-106.506
-0.508,1.472,-0.830,-32.227,144.409,-123.108
-0.574,1.106,-0.970,-33.081,131.897,-135.925
-0.626,0.672,-1.087,-35.950,116.211,-145.020
-0.662,0.248,-1.051,-35.156,98.633,-148.621
-0.687,-0.122,-1.045,-38.574,81.360,-147.644
-0.705,-0.394,-1.031,-43.213,67.078,-142.334
-0.704,-0.533,-1.018,-50.842,54.626,-134.277
-0.696,-0.598,-1.047,-60.669,42.542,-125.488
-0.683,-0.624,-1.092,-69.092,30.762,-116.516
-0.652,-0.645,-1.125,-77.576,17.639,-108.337
-0.598,-0.632,-1.156,-82.947,4.517,-100.281
-0.558,-0.662,-1.224,-86.060,-8.301,-93.811
