aX,aY,aZ,gX,gY,gZ
0.561,0.068,0.393,0.671,12.817,-20.935
0.559,0.017,0.432,1.099,6.226,-21.912
0.541,-0.026,0.576,0.671,0.000,-22.217
0.513,-0.044,0.748,0.671,-3.845,-22.217
0.500,-0.028,0.917,1.099,-5.127,-21.667
0.477,-0.011,1.090,-0.122,-4.883,-21.362
0.449,-0.028,1.212,-1.892,-2.563,-21.301
0.448,-0.067,1.215,-2.930,3.418,-20.935
0.450,-0.116,1.094,-2.930,9.033,-19.958
0.452,-0.175,0.934,-2.869,13.000,-18.738
0.465,-0.223,0.753,-1.282,14.587,-16.418
0.476,-0.244,0.631,0.549,13.306,-13.672
0.476,-0.263,0.556,0.854,10.376,-10.925
0.476,-0.273,0.541,1.465,5.920,-7.874
0.480,-0.272,0.556,3.052,1.770,-4.822
0.474,-0.252,0.606,4.028,-2.197,-2.014
0.470,-0.165,0.710,3.235,-4.944,1.282
0.461,-0.058,0.856,1.465,-6.287,3.601
0.460,0.074,1.033,-0.305,-6.653,4.883
0.459,0.182,1.126,-2.197,-4.700,4.333
0.472,0.200,1.091,-2.808,-0.488,2.502
0.484,0.157,0.965,-1.709,3.784,0.366
0.500,0.103,0.809,-0.854,6.042,-1.221
0.510,0.048,0.685,-0.122,5.859,-2.258
0.514,-0.025,0.628,-0.549,3.906,-2.869
0.509,-0.080,0.645,-0.977,0.610,-2.686
0.502,-0.093,0.680,-0.793,-2.319,-1.648
0.499,-0.083,0.716,0.244,-4.089,-0.061
0.492,-0.057,0.766,0.305,-5.127,1.221
-0.407,-1.517,-1.004,38.208,-117.371,54.443
-0.556,-1.794,-0.939,44.067,-134.583,67.078
-0.692,-2.169,-0.816,46.448,-152.039,81.421
-0.832,-2.571,-0.675,43.457,-167.297,99.609
-0.984,-2.875,-0.563,48.706,-181.702,123.840
-1.121,-3.061,-0.420,64.087,-196.350,153.748
-1.265,-2.938,-0.101,72.693,-211.304,186.829
-1.370,-2.465,0.428,77.698,-224.548,221.375
-1.449,-1.845,1.024,76.538,-232.544,250.183
-1.471,-1.062,1.629,72.327,-234.985,275.757
-1.341,-0.137,2.214,63.171,-232.239,294.189
-1.097,0.903,2.587,55.969,-213.745,303.955
-0.788,1.851,2.886,53.162,-195.129,301.208
-0.404,2.652,3.123,54.199,-175.598,287.964
-0.046,3.266,3.252,60.913,-153.687,267.273
0.323,3.703,3.192,70.740,-128.296,246.643
0.720,3.794,2.889,67.871,-99.670,217.163
1.034,3.498,2.406,60.059,-74.463,174.622
1.287,3.324,2.071,54.382,-62.439,141.846
1.460,3.378,2.008,44.434,-56.152,120.544
1.555,3.685,2.241,27.405,-52.124,103.149
1.596,4.000,2.560,13.855,-43.762,89.294
1.572,4.000,2.887,12.634,-31.677,83.191
1.576,4.000,2.974,23.987,-10.010,58.411
1.333,4.000,2.628,6.042,20.142,-6.287
1.136,4.000,2.422,-5.859,41.443,-50.781
0.879,4.000,1.768,-16.663,63.171,-104.370
0.575,4.000,1.270,-26.611,76.477,-160.034
0.212,4.000,0.756,-22.461,91.003,-208.496
-0.116,3.548,0.522,-27.771,84.412,-248.108
-0.416,2.665,0.387,-39.001,68.726,-280.884
-0.681,1.759,0.419,-59.753,61.401,-304.932
-0.878,0.779,0.737,-89.539,48.950,-318.481
-1.026,0.028,1.073,-96.924,41.443,-318.298
-1.132,-0.553,1.381,-96.436,39.673,-308.594
-1.184,-0.940,1.540,-101.196,45.105,-295.349
-1.211,-1.208,1.483,-101.624,55.298,-278.564
-1.304,-1.301,1.238,-98.083,66.223,-261.047
-1.350,-1.328,0.922,-97.839,74.402,-246.033
-1.384,-1.652,0.477,-104.614,79.956,-237.793
-1.379,-2.252,0.066,-110.901,79.041,-230.469
-1.299,-3.062,-0.301,-113.586,72.815,-219.604
-1.179,-3.942,-0.636,-114.624,61.646,-201.416
-1.076,-4.000,-1.013,-111.633,53.162,-176.697
-0.998,-4.000,-1.426,-96.680,39.795,-148.987
-0.970,-4.000,-1.748,-88.318,15.869,-111.145
-0.912,-4.000,-2.062,-50.354,-21.729,-14.038
